timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
337237.63,13,253952,62,253983,16733175204,5,52560555,0,1884,8,8,10033,1686,19,630,1881003,0,7,99841,13,11,127305492,1262,1,0,4,459,316550148,5,1266136200,12,22,8,1491,630,0,0,131149632,3112015,5394534082,0,630,363,0,3,1,14,14,936,0,3,5389471221,5278290706,186524928,321134121,321134121,1,3,1,0,16698974324,73389,73389,14,14,14,321134125,5,3,262127,1928282,2760073,44783,5389471221,1881003,128394664,1510
339242.80,13,253952,62,264094,17399248510,5,53795953,0,1979,8,8,10033,1743,19,630,1950837,0,7,103812,13,11,127305492,1262,1,0,4,459,329159981,5,1316639924,12,22,8,1491,630,0,0,135923799,3113108,5608130896,0,630,363,0,3,1,14,14,936,0,3,5603119891,5488373784,192534528,333922660,333922660,1,3,1,0,17363978352,73389,73389,14,14,14,333922664,5,3,265892,1999849,2852913,46534,5603119891,1950837,133076202,1510
341248.09,13,253952,62,274264,18070250248,5,55038881,0,2062,8,8,10033,1816,19,630,2020874,0,7,107811,13,11,127305492,1262,1,0,4,459,341810620,5,1367177760,12,22,8,1491,630,0,0,140695989,3113596,5829372302,0,630,363,0,3,1,14,14,936,0,3,5824547691,5700586658,198547521,346770258,346770258,1,3,1,0,18031201480,73389,73389,14,14,14,346753878,5,3,273811,2071621,2938771,48393,5824547691,2020874,137762758,1510
343253.73,13,253952,62,284405,18738880868,5,56355285,0,2139,8,8,10033,1876,19,630,2087666,0,7,111791,13,11,127305492,1262,1,0,4,459,354464852,5,1417794788,12,22,8,1491,630,0,0,145376994,3114393,6045640641,0,630,363,0,3,1,14,14,936,0,3,6040350560,5911659708,204543630,359587247,359587247,1,3,1,0,18698536876,73389,73389,14,14,14,359587251,5,3,278375,2140131,3030911,50169,6040350560,2087666,142351833,1510
345258.40,13,253952,62,291426,19201184434,6,58369672,0,2166,8,8,10033,1923,19,630,2126578,0,7,114543,13,11,127305492,1262,1,0,4,459,363156741,5,1452626964,12,22,8,1491,630,0,0,148158487,3114475,6202198144,0,630,363,0,3,1,14,14,936,0,3,6196537438,6057962352,209339148,368419494,368435878,1,3,1,0,19157813720,73389,73389,14,14,14,368419498,5,3,279200,2180044,3072881,51477,6196537438,2126578,145091467,1510
347264.30,13,253952,62,301479,19863401284,6,59747845,0,2234,9,9,10033,1984,19,648,2191397,0,7,118485,13,11,130188082,1298,1,0,4,459,375690252,5,1502631680,12,23,8,1491,648,0,0,152637439,3114577,6420163973,0,648,374,0,3,1,14,14,936,0,3,6414571729,6267157155,215195546,381115762,381132146,1,3,1,0,19818019656,73389,73389,14,14,14,381115766,5,3,286279,2246525,3173828,53273,6414571729,2191397,149469673,1556
349269.86,13,253952,62,311810,20544254490,6,60926182,0,2326,9,9,10033,2052,19,648,2261271,0,7,122555,13,11,130188082,1298,1,0,4,459,388570792,5,1554283168,12,23,8,1491,648,0,0,157474329,3114932,6642676942,0,648,374,0,3,1,14,14,936,0,3,6636854735,6482060556,221208891,394180670,394180670,1,3,1,0,20497394872,73389,73389,14,14,14,394180674,5,3,288721,2318207,3247777,55124,6636854735,2261271,154232825,1556
351275.84,13,253952,62,322136,21223212846,6,62526388,0,2409,10,10,10033,2120,20,666,2335018,0,7,126583,14,11,133499251,1334,1,0,4,459,401337410,5,1605349640,13,24,8,1499,666,0,0,162388845,3129978,6870476520,0,666,385,0,3,1,14,14,936,0,3,6864736412,6696367126,227738022,407178327,407194711,1,3,1,0,21173273036,73389,73389,14,14,14,407178331,5,3,293467,2393891,3342710,57014,6864736412,2335018,159052604,1610
353280.75,13,253952,62,332479,21904626408,7,64845862,0,2495,10,10,10033,2190,20,792,2402813,8,7,130644,14,11,154712041,1586,1,0,4,459,414193471,5,1656709176,13,24,8,1499,792,0,0,167101184,3130209,7096148716,0,784,475,8,3,1,14,14,936,0,3,7090443016,6911973936,234758828,420217130,420233514,1,3,1,0,21851290792,73389,73389,14,14,14,420217134,5,3,295429,2463430,3424798,58917,7090443016,2402813,163683054,1958
355284.95,13,253952,62,342530,22566629378,7,66122768,0,2559,10,10,10033,2251,21,882,2462544,8,7,134566,14,11,170651429,1766,1,0,4,459,426662774,5,1706521516,13,24,8,1499,882,0,0,171273252,3130326,7321211771,0,874,506,8,3,1,14,14,936,0,3,7314705351,7121802566,240173680,432864246,432864246,1,3,1,0,22508940824,73389,73389,14,14,14,432864250,5,3,298037,2524754,3506964,60767,7314705351,2462544,167773129,2197
